Zona;Sexo;Edad;Relacion;Estado Civil;Lugar 5 años;Pueblo;Seguro Salud;Embarazo;Leer y Escribir;Sum y Mul;Nivel edu;Matricula;Prox Nivel ed;Ocupacion
1;1;19;3;1;1;2;6;0;1;1;42;2;0;0
1;2;14;3;1;1;2;6;3;1;1;42;1;42;0
1;1;42;1;2;1;2;2;0;1;1;23;2;0;4
1;2;40;2;2;1;2;2;2;1;1;77;2;0;1
1;2;22;3;1;1;2;2;3;1;1;72;1;72;3
1;1;20;3;1;1;2;2;0;1;1;72;1;72;0
1;1;43;1;2;1;1;6;0;1;1;22;2;0;3
1;2;39;2;2;1;1;6;2;1;1;23;2;0;4
1;1;18;3;2;1;2;6;0;1;1;42;1;81;6
1;1;11;3;1;1;2;6;0;1;1;41;1;41;6
1;1;33;1;1;1;2;6;0;1;1;32;2;0;1
1;1;9;3;1;1;2;6;0;1;1;41;1;41;0
1;1;30;1;3;1;1;6;0;1;1;32;2;0;1
1;2;26;2;3;1;2;1;1;1;1;32;2;0;0
1;2;7;3;1;1;2;6;0;1;1;13;1;41;0
1;2;49;1;3;2;2;6;2;1;1;21;2;0;3
1;1;65;2;3;2;2;1;0;1;1;21;2;0;0
1;1;14;3;1;2;2;6;0;1;1;42;1;42;1
1;1;40;1;1;1;1;6;0;1;1;72;2;0;3
1;2;80;7;6;1;1;1;0;1;1;21;2;0;0
1;2;27;10;1;1;2;6;2;1;1;72;1;72;1
1;1;35;1;2;1;2;6;0;1;1;72;2;0;3
1;2;28;2;2;1;2;1;2;1;1;32;2;0;1
1;2;7;3;1;1;2;6;0;1;1;41;1;41;0
1;2;6;3;1;1;2;6;0;2;2;13;1;13;0
1;2;4;3;1;4;2;6;0;2;2;11;2;0;0
1;1;39;1;3;1;1;6;0;1;1;22;2;0;3
1;2;39;2;3;1;1;6;1;1;1;21;2;0;0
1;2;15;3;1;1;2;6;3;1;1;42;1;42;0
1;2;42;1;1;1;2;1;3;1;1;72;2;0;3
1;1;34;6;2;1;1;6;0;1;1;32;2;0;3
1;2;24;6;2;1;1;1;2;1;1;42;2;0;3
1;2;3;10;1;4;2;1;0;0;0;0;0;0;0
1;2;68;7;6;1;1;1;0;1;1;21;2;0;0
1;2;58;1;4;1;2;6;0;1;1;21;2;0;3
1;1;30;3;1;1;1;6;0;1;1;32;2;0;1
1;1;27;3;1;1;1;6;0;1;1;32;2;0;1
1;2;20;3;1;1;1;6;3;1;1;42;1;77;1
1;1;30;1;3;1;2;6;0;1;1;32;2;0;1
1;2;30;2;3;1;2;6;2;1;1;32;2;0;3
1;2;8;3;1;1;2;6;0;1;1;41;1;41;0
1;1;2;3;1;4;2;6;0;0;0;0;0;0;0
1;2;26;1;3;1;2;6;1;1;1;32;2;0;3
1;1;5;3;1;1;2;6;0;2;2;13;1;13;0
1;1;3;3;1;4;2;6;0;0;0;0;0;0;0
1;1;22;1;2;1;2;2;0;1;1;42;2;0;1
1;2;23;2;2;1;2;1;2;1;1;42;2;0;0
1;2;0;3;1;4;2;1;0;0;0;0;0;0;0
1;1;39;1;2;1;1;6;0;1;1;32;2;0;3
1;2;37;2;2;1;1;1;2;1;1;32;2;0;8
1;1;15;3;1;1;1;6;0;1;1;42;1;42;0
1;1;12;3;1;1;1;6;0;1;1;42;1;42;0
1;1;8;3;1;1;1;6;0;1;1;41;1;41;0
1;2;36;1;4;1;2;1;1;1;1;32;2;0;8
1;2;12;3;1;1;2;1;0;1;1;42;1;42;0
1;2;10;3;1;1;2;1;0;1;1;41;1;41;0
1;1;6;3;1;1;2;1;0;2;2;13;1;13;0
1;1;2;3;1;4;2;1;0;0;0;0;0;0;0
1;2;65;7;6;1;2;1;0;2;1;21;2;0;0
1;2;54;1;2;1;1;1;0;1;1;21;2;0;8
1;1;26;3;1;1;1;1;0;1;1;32;2;0;1
1;2;7;9;1;1;2;1;0;1;1;13;1;41;0
1;2;6;9;1;1;2;1;0;2;2;13;1;13;0
1;2;65;1;4;1;2;6;0;1;1;11;2;0;3
1;2;24;3;1;1;2;6;2;1;1;77;1;77;8
1;1;6;9;1;1;2;6;0;2;1;13;1;13;0
1;1;49;1;1;1;2;6;0;1;1;21;2;0;1
1;1;59;1;2;1;2;6;0;1;1;21;2;0;3
1;2;46;2;2;1;2;6;2;1;1;22;2;0;3
1;1;15;3;1;1;2;6;0;1;1;42;1;42;0
1;2;44;1;6;1;2;6;2;1;1;22;2;0;8
1;1;22;3;1;1;2;6;0;1;1;72;1;72;0
1;1;19;3;1;1;2;6;0;1;1;42;1;42;0
1;1;55;1;4;1;1;6;0;1;1;22;2;0;1
1;2;23;3;1;1;1;6;3;1;1;77;1;77;0
1;1;50;1;2;1;2;6;0;1;1;22;2;0;3
1;2;45;2;2;1;2;6;2;1;1;23;2;0;3
1;1;16;3;1;1;2;6;0;1;1;42;1;42;0
1;1;8;3;1;1;2;6;0;1;1;41;1;41;0
1;1;40;1;3;1;1;6;0;1;1;32;2;0;1
1;2;38;2;3;1;1;6;2;1;1;32;2;0;8
1;2;20;3;1;1;2;6;3;1;1;72;1;72;0
1;2;19;3;1;1;2;2;3;1;1;42;2;0;1
1;1;13;3;1;1;2;6;0;1;1;42;2;0;0
1;2;69;1;6;1;2;6;0;1;1;21;2;0;3
1;2;38;3;1;1;2;6;3;1;1;32;2;0;3
1;1;38;1;2;1;2;6;0;1;1;32;2;0;1
1;2;33;2;2;1;2;2;2;1;1;72;2;0;1
1;1;9;3;1;1;2;6;0;1;1;41;1;41;0
1;2;5;3;1;1;2;2;0;2;2;11;1;13;0
1;2;25;1;1;1;2;6;3;1;1;72;2;0;1
1;1;39;1;2;1;2;6;0;1;1;23;2;0;6
1;2;35;2;2;1;2;6;2;1;1;31;2;0;3
1;2;18;3;1;1;2;6;3;1;1;42;1;77;0
1;2;16;3;1;1;2;6;3;1;1;42;1;42;0
1;1;14;3;1;1;2;6;0;1;1;42;1;42;0
1;1;34;1;2;1;2;2;0;1;1;32;2;0;1
1;2;34;2;2;1;2;2;2;1;1;32;2;0;3
1;1;8;3;1;1;2;2;0;1;1;41;1;41;0
1;2;2;3;1;4;2;2;0;0;0;0;0;0;0
1;1;64;1;1;1;1;2;0;1;1;21;2;0;3
1;1;55;1;2;1;2;2;0;1;1;71;1;72;1
1;2;53;2;2;1;2;2;0;1;1;71;2;0;1
1;1;23;3;1;1;2;1;0;1;1;72;1;72;1
1;1;29;1;3;1;1;6;0;1;1;76;2;0;1
1;2;24;2;3;1;1;1;3;1;1;42;2;0;0
1;1;35;1;2;1;2;1;0;1;1;32;2;0;3
1;2;37;2;2;1;2;1;2;1;1;32;2;0;3
